ÏÎÐ‗ÄÊÎÂÛÉ ÍÎÌÅÐ ÇÀÃÐÓÇÊÈ; ÍÎÌÅÐ ÒÂÑ; ÊÎÎÐÄÈÍÀÒÀ X; ÊÎÎÐÄÈÍÀÒÀ Y; ÑÒÀÒÓÑ;  ÂÐÅÌ‗ ÇÀÃÐÓÇÊÈ; ÑÌÅÍÀ; ÏÎÂÛÑÎÒÍÀ‗ ÎÒÌÅÒÊÀ; ÇÀÌÅ×ÀÍÈÅ 
1;81;8;29;True;22.11.2014 14:35:43;אנגא;10897.5;;
2;54;10;29;True;22.11.2014 14:35:43;אנגא;10897.5;;
3;69;9;32;True;22.11.2014 14:35:43;אנגא;10897.5;;
4;96;7;32;True;22.11.2014 14:35:43;אנגא;10897.5;;
5;108;6;29;True;22.11.2014 14:35:44;אנגא;10897.5;;
6;93;7;26;True;22.11.2014 14:35:44;אנגא;10897.5;;
7;66;9;26;True;22.11.2014 14:35:44;אנגא;10897.5;;
8;40;11;26;True;22.11.2014 14:35:44;אנגא;10897.5;;
9;43;11;32;True;22.11.2014 14:35:44;אנגא;10897.5;;
10;84;8;35;True;22.11.2014 14:35:44;אנגא;10897.5;;
11;122;5;32;True;22.11.2014 14:35:44;אנגא;10897.5;;
12;119;5;26;True;22.11.2014 14:35:44;אנגא;10897.5;;
13;78;8;23;True;22.11.2014 14:35:44;אנגא;10897.5;;
14;30;12;29;True;22.11.2014 14:35:44;אנגא;10897.5;;
15;57;10;35;True;22.11.2014 14:35:45;אנגא;10897.5;;
16;111;6;35;True;22.11.2014 14:35:46;אנגא;10897.5;;
17;132;4;29;True;22.11.2014 14:35:46;אנגא;10897.5;;
18;105;6;23;True;22.11.2014 14:35:47;אנגא;10897.5;;
19;51;10;23;True;22.11.2014 14:35:47;אנגא;10897.5;;
20;18;13;26;True;22.11.2014 14:35:47;אנגא;10897.5;;
21;21;13;32;True;22.11.2014 14:35:47;אנגא;10897.5;;
22;33;12;35;True;22.11.2014 14:35:47;אנגא;10897.5;;
23;72;9;38;True;22.11.2014 14:35:47;אנגא;10897.5;;
24;99;7;38;True;22.11.2014 14:35:47;אנגא;10897.5;;
25;135;4;35;True;22.11.2014 14:35:47;אנגא;10897.5;;
26;144;3;32;True;22.11.2014 14:35:47;אנגא;10897.5;;
27;141;3;26;True;22.11.2014 14:35:47;אנגא;10897.5;;
28;129;4;23;True;22.11.2014 14:35:48;אנגא;10897.5;;
29;90;7;20;True;22.11.2014 14:35:48;אנגא;10897.5;;
30;63;9;20;True;22.11.2014 14:35:48;אנגא;10897.5;;
31;27;12;23;True;22.11.2014 14:35:48;אנגא;10897.5;;
32;28;12;25;True;22.11.2014 14:35:48;אנגא;10897.5;;
33;32;12;33;True;22.11.2014 14:35:48;אנגא;10897.5;;
34;85;8;37;True;22.11.2014 14:35:48;אנגא;10897.5;;
35;134;4;33;True;22.11.2014 14:35:48;אנגא;10897.5;;
36;130;4;25;True;22.11.2014 14:35:48;אנגא;10897.5;;
37;77;8;21;True;22.11.2014 14:35:48;אנגא;10897.5;;
38;7;14;23;True;22.11.2014 14:35:49;אנגא;10897.5;;
39;13;14;35;True;22.11.2014 14:35:49;אנגא;10897.5;;
40;87;8;41;True;22.11.2014 14:35:49;אנגא;10897.5;;
41;155;2;35;True;22.11.2014 14:35:49;אנגא;10897.5;;
42;149;2;23;True;22.11.2014 14:35:49;אנגא;10897.5;;
43;75;8;17;True;22.11.2014 14:35:49;אנגא;10897.5;;
44;10;14;29;True;22.11.2014 14:35:49;אנגא;10897.5;;
45;46;11;38;True;22.11.2014 14:35:49;אנגא;10897.5;;
46;125;5;38;True;22.11.2014 14:35:49;אנגא;10897.5;;
47;152;2;29;True;22.11.2014 14:35:49;אנגא;10897.5;;
48;116;5;20;True;22.11.2014 14:35:49;אנגא;10897.5;;
49;37;11;20;True;22.11.2014 14:35:50;אנגא;10897.5;;
50;60;10;41;True;22.11.2014 14:35:50;אנגא;10897.5;;
51;114;6;41;True;22.11.2014 14:35:50;אנגא;10897.5;;
52;147;3;38;True;22.11.2014 14:35:50;אנגא;10897.5;;
53;161;1;32;True;22.11.2014 14:35:50;אנגא;10897.5;;
54;158;1;26;True;22.11.2014 14:35:50;אנגא;10897.5;;
55;138;3;20;True;22.11.2014 14:35:50;אנגא;10897.5;;
56;102;6;17;True;22.11.2014 14:35:50;אנגא;10897.5;;
57;48;10;17;True;22.11.2014 14:35:50;אנגא;10897.5;;
58;15;13;20;True;22.11.2014 14:35:50;אנגא;10897.5;;
59;1;15;26;True;22.11.2014 14:35:51;אנגא;10897.5;;
60;24;13;38;True;22.11.2014 14:35:51;אנגא;10897.5;;
61;53;10;27;True;22.11.2014 14:35:51;אנגא;10897.5;;
62;55;10;31;True;22.11.2014 14:35:51;אנגא;10897.5;;
63;83;8;33;True;22.11.2014 14:35:51;אנגא;10897.5;;
64;109;6;31;True;22.11.2014 14:35:51;אנגא;10897.5;;
65;107;6;27;True;22.11.2014 14:35:51;אנגא;10897.5;;
66;79;8;25;True;22.11.2014 14:35:51;אנגא;10897.5;;
67;67;9;28;True;22.11.2014 14:35:51;אנגא;10897.5;;
68;95;7;30;True;22.11.2014 14:35:51;אנגא;10897.5;;
69;68;9;30;True;22.11.2014 14:35:52;אנגא;10897.5;;
70;94;7;28;True;22.11.2014 14:35:52;אנגא;10897.5;;
71;82;8;31;True;22.11.2014 14:35:52;אנגא;10897.5;;
72;80;8;27;True;22.11.2014 14:35:52;אנגא;10897.5;;
73;38;11;22;True;22.11.2014 14:35:52;אנגא;10897.5;;
74;20;13;30;True;22.11.2014 14:35:52;אנגא;10897.5;;
75;58;10;37;True;22.11.2014 14:35:52;אנגא;10897.5;;
76;124;5;36;True;22.11.2014 14:35:52;אנגא;10897.5;;
77;142;3;28;True;22.11.2014 14:35:52;אנגא;10897.5;;
78;104;6;21;True;22.11.2014 14:35:52;אנגא;10897.5;;
79;89;7;18;True;22.11.2014 14:35:53;אנגא;10897.5;;
