ПОРЯДКОВЫЙ НОМЕР ЗАГРУЗКИ; НОМЕР ТВС; КООРДИНАТА X; КООРДИНАТА Y; СТАТУС;  ВРЕМЯ ЗАГРУЗКИ; СМЕНА; ПОВЫСОТНАЯ ОТМЕТКА; ЗАМЕЧАНИЕ 
1;81;8;29;True;01.02.2016 13:54:06;;0;;
2;54;10;29;True;01.02.2016 13:55:07;пирпут;34345,4;вавапв;
3;69;9;32;True;01.02.2016 13:55:34;пирпут;34345,4;;
4;96;7;32;True;01.02.2016 13:55:49;пирпут;34345,4;аывавы;
5;108;6;29;False;01.02.2016 13:55:58;пирпут;0;вппа;
6;93;7;26;True;01.02.2016 13:57:48;пирпут;34345,4;;
7;66;9;26;True;01.02.2016 13:58:14;пирпут;34345,4;;
8;40;11;26;True;01.02.2016 13:58:14;пирпут;34345,4;;
9;43;11;32;True;01.02.2016 13:58:15;пирпут;34345,4;;
10;84;8;35;True;01.02.2016 13:58:15;пирпут;34345,4;;
11;122;5;32;True;01.02.2016 13:58:15;пирпут;34345,4;;
12;119;5;26;True;01.02.2016 13:58:15;пирпут;34345,4;;
13;78;8;23;True;01.02.2016 13:58:15;пирпут;34345,4;;
14;30;12;29;True;01.02.2016 13:58:15;пирпут;34345,4;;
15;57;10;35;True;01.02.2016 13:58:15;пирпут;34345,4;;
16;111;6;35;True;01.02.2016 13:58:16;пирпут;34345,4;;
17;132;4;29;True;01.02.2016 13:58:16;пирпут;34345,4;;
18;105;6;23;True;01.02.2016 13:58:16;пирпут;34345,4;;
19;51;10;23;True;01.02.2016 13:58:16;пирпут;34345,4;;
20;18;13;26;True;01.02.2016 13:58:16;пирпут;34345,4;;
21;21;13;32;True;01.02.2016 13:58:16;пирпут;34345,4;;
22;33;12;35;True;01.02.2016 13:58:17;пирпут;34345,4;;
23;72;9;38;True;01.02.2016 13:58:17;пирпут;34345,4;;
24;99;7;38;True;01.02.2016 13:58:17;пирпут;34345,4;;
25;135;4;35;True;01.02.2016 13:58:17;пирпут;34345,4;;
26;144;3;32;True;01.02.2016 13:58:17;пирпут;34345,4;;
27;141;3;26;True;01.02.2016 13:58:17;пирпут;34345,4;;
28;129;4;23;True;01.02.2016 13:58:17;пирпут;34345,4;;
29;90;7;20;True;01.02.2016 13:58:18;пирпут;34345,4;;
30;63;9;20;True;01.02.2016 13:58:18;пирпут;34345,4;;
31;27;12;23;True;01.02.2016 13:58:18;пирпут;34345,4;;
32;28;12;25;True;01.02.2016 13:58:18;пирпут;34345,4;;
33;32;12;33;True;01.02.2016 13:58:18;пирпут;34345,4;;
34;85;8;37;True;01.02.2016 13:58:18;пирпут;34345,4;;
35;134;4;33;True;01.02.2016 13:58:18;пирпут;34345,4;;
36;130;4;25;True;01.02.2016 13:58:19;пирпут;34345,4;;
37;77;8;21;True;01.02.2016 13:58:19;пирпут;34345,4;;
38;7;14;23;True;01.02.2016 13:58:19;пирпут;34345,4;;
39;13;14;35;True;01.02.2016 13:58:19;пирпут;34345,4;;
40;87;8;41;True;01.02.2016 13:58:19;пирпут;34345,4;;
