œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;94;7;28;True;01.02.2016 14:56:26;;0;;
2;82;8;31;True;01.02.2016 14:56:30;;0;;
3;67;9;28;True;01.02.2016 14:56:30;;0;;
4;79;8;25;True;01.02.2016 14:56:31;;0;;
5;109;6;31;True;01.02.2016 14:56:31;;0;;
6;55;10;31;True;01.02.2016 14:56:31;;0;;
7;106;6;25;True;01.02.2016 14:56:31;;0;;
8;120;5;28;True;01.02.2016 14:56:31;;0;;
9;97;7;34;True;01.02.2016 14:56:31;;0;;
10;70;9;34;True;01.02.2016 14:56:31;;0;;
11;41;11;28;True;01.02.2016 14:56:32;;0;;
12;52;10;25;True;01.02.2016 14:56:32;;0;;
13;85;8;37;True;01.02.2016 14:56:32;;0;;
14;44;11;34;True;01.02.2016 14:56:32;;0;;
15;31;12;31;True;01.02.2016 14:56:32;;0;;
16;28;12;25;True;01.02.2016 14:56:32;;0;;
17;64;9;22;True;01.02.2016 14:56:33;;0;;
18;91;7;22;True;01.02.2016 14:56:33;;0;;
19;130;4;25;True;01.02.2016 14:56:33;;0;;
20;133;4;31;True;01.02.2016 14:56:33;;0;;
21;123;5;34;True;01.02.2016 14:56:33;;0;;
22;76;8;19;True;01.02.2016 14:56:33;;0;;
23;117;5;22;True;01.02.2016 14:56:33;;0;;
24;142;3;28;True;01.02.2016 14:56:34;;0;;
25;145;3;34;True;01.02.2016 14:56:34;;0;;
26;112;6;37;True;01.02.2016 14:56:34;;0;;
27;58;10;37;True;01.02.2016 14:56:34;;0;;
28;22;13;34;True;01.02.2016 14:56:34;;0;;
29;19;13;28;True;01.02.2016 14:56:34;;0;;
30;38;11;22;True;01.02.2016 14:56:34;;0;;
31;103;6;19;True;01.02.2016 14:56:35;;0;;
32;139;3;22;True;01.02.2016 14:56:35;;0;;
33;150;2;25;True;01.02.2016 14:56:35;;0;;
34;153;2;31;True;01.02.2016 14:56:35;;0;;
35;136;4;37;True;01.02.2016 14:56:35;;0;;
36;100;7;40;True;01.02.2016 14:56:35;;0;;
37;73;9;40;True;01.02.2016 14:56:36;;0;;
38;34;12;37;True;01.02.2016 14:56:36;;0;;
39;11;14;31;True;01.02.2016 14:56:36;;0;;
40;8;14;25;True;01.02.2016 14:56:36;;0;;
41;16;13;22;True;01.02.2016 14:56:36;;0;;
42;49;10;19;True;01.02.2016 14:56:36;;0;;
43;88;7;16;True;01.02.2016 14:56:36;;0;;
44;127;4;19;True;01.02.2016 14:56:37;;0;;
45;159;1;28;True;01.02.2016 14:56:37;;0;;
46;162;1;34;True;01.02.2016 14:56:37;;0;;
47;156;2;37;True;01.02.2016 14:56:37;;0;;
48;126;5;40;True;01.02.2016 14:56:37;;0;;
49;47;11;40;True;01.02.2016 14:56:37;;0;;
50;14;14;37;True;01.02.2016 14:56:38;;0;;
51;5;15;34;True;01.02.2016 14:56:38;;0;;
52;2;15;28;True;01.02.2016 14:56:38;;0;;
53;25;12;19;True;01.02.2016 14:56:38;;0;;
54;61;9;16;True;01.02.2016 14:56:38;;0;;
55;81;8;29;True;01.02.2016 14:56:38;;0;;
56;107;6;27;True;01.02.2016 14:56:38;;0;;
57;83;8;33;True;01.02.2016 14:56:39;;0;;
58;53;10;27;True;01.02.2016 14:56:39;;0;;
59;65;9;24;True;01.02.2016 14:56:39;;0;;
60;92;7;24;True;01.02.2016 14:56:39;;0;;
61;121;5;30;True;01.02.2016 14:56:39;;0;;
62;110;6;33;True;01.02.2016 14:56:39;;0;;
63;56;10;33;True;01.02.2016 14:56:39;;0;;
64;42;11;30;True;01.02.2016 14:56:40;;0;;
65;29;12;27;True;01.02.2016 14:56:40;;0;;
66;39;11;24;True;01.02.2016 14:56:40;;0;;
67;77;8;21;True;01.02.2016 14:56:40;;0;;
68;118;5;24;True;01.02.2016 14:56:40;;0;;
69;131;4;27;True;01.02.2016 14:56:40;;0;;
70;134;4;33;True;01.02.2016 14:56:41;;0;;
71;98;7;36;True;01.02.2016 14:56:41;;0;;
72;71;9;36;True;01.02.2016 14:56:41;;0;;
73;32;12;33;True;01.02.2016 14:56:41;;0;;
74;20;13;30;True;01.02.2016 14:56:41;;0;;
75;17;13;24;True;01.02.2016 14:56:41;;0;;
76;50;10;21;True;01.02.2016 14:56:41;;0;;
77;104;6;21;True;01.02.2016 14:56:42;;0;;
78;140;3;24;True;01.02.2016 14:56:43;;0;;
79;143;3;30;True;01.02.2016 14:56:43;;0;;
80;124;5;36;True;01.02.2016 14:56:43;;0;;
81;86;8;39;True;01.02.2016 14:56:43;;0;;
82;45;11;36;True;01.02.2016 14:56:44;;0;;
83;23;13;36;True;01.02.2016 14:56:44;;0;;
84;12;14;33;True;01.02.2016 14:56:44;;0;;
85;9;14;27;True;01.02.2016 14:56:44;;0;;
86;26;12;21;True;01.02.2016 14:56:46;;0;;
87;62;9;18;True;01.02.2016 14:56:47;;0;;
88;89;7;18;True;01.02.2016 14:56:47;;0;;
89;128;4;21;True;01.02.2016 14:56:48;;0;;
90;151;2;27;True;01.02.2016 14:56:48;;0;;
91;154;2;33;True;01.02.2016 14:56:48;;0;;
92;146;3;36;True;01.02.2016 14:56:48;;0;;
93;113;6;39;True;01.02.2016 14:56:48;;0;;
94;59;10;39;True;01.02.2016 14:56:48;;0;;
95;35;12;39;True;01.02.2016 14:56:48;;0;;
96;3;15;30;True;01.02.2016 14:56:49;;0;;
97;36;11;18;True;01.02.2016 14:56:51;;0;;
98;115;5;18;True;01.02.2016 14:56:52;;0;;
99;160;1;30;True;01.02.2016 14:56:52;;0;;
100;137;4;39;True;01.02.2016 14:56:52;;0;;
101;101;7;42;True;01.02.2016 14:56:52;;0;;
102;74;9;42;True;01.02.2016 14:56:52;;0;;
103;0;15;24;True;01.02.2016 14:56:53;;0;;
104;6;14;21;True;01.02.2016 14:56:53;;0;;
105;95;7;30;True;01.02.2016 14:56:55;;0;;
106;68;9;30;True;01.02.2016 14:56:57;;0;;
