œŒ–ﬂƒ Œ¬€… ÕŒÃ≈– «¿√–”« »; ÕŒÃ≈– “¬—;  ŒŒ–ƒ»Õ¿“¿ X;  ŒŒ–ƒ»Õ¿“¿ Y; —“¿“”—;  ¬–≈Ãﬂ «¿√–”« »; —Ã≈Õ¿; œŒ¬€—Œ“Õ¿ﬂ Œ“Ã≈“ ¿; «¿Ã≈◊¿Õ»≈ 
1;81;8;29;True;30.11.2017 20:29:44;;0;;
2;54;10;29;True;30.11.2017 20:29:44;;0;;
3;69;9;32;True;30.11.2017 20:29:44;;0;;
4;96;7;32;True;30.11.2017 20:29:44;;0;;
5;108;6;29;True;30.11.2017 20:29:44;;0;;
6;93;7;26;True;30.11.2017 20:29:45;;0;;
7;66;9;26;True;30.11.2017 20:29:45;;0;;
8;30;12;29;True;30.11.2017 20:29:45;;0;;
9;57;10;35;True;30.11.2017 20:29:45;;0;;
11;132;4;29;True;30.11.2017 20:29:46;;0;;
12;105;6;23;True;30.11.2017 20:29:46;;0;;
13;51;10;23;True;30.11.2017 20:29:46;;0;;
14;18;13;26;True;30.11.2017 20:29:46;;0;;
15;21;13;32;True;30.11.2017 20:29:46;;0;;
16;33;12;35;True;30.11.2017 20:29:46;;0;;
17;72;9;38;True;30.11.2017 20:29:47;;0;;
18;99;7;38;True;30.11.2017 20:29:47;;0;;
19;135;4;35;True;30.11.2017 20:29:47;;0;;
20;144;3;32;True;30.11.2017 20:29:47;;0;;
21;141;3;26;True;30.11.2017 20:29:47;;0;;
22;129;4;23;True;30.11.2017 20:29:48;;0;;
23;90;7;20;True;30.11.2017 20:29:48;;0;;
24;63;9;20;True;30.11.2017 20:29:49;;0;;
25;27;12;23;False;01.01.0001 0:00:00;;0;;
26;7;14;23;False;01.01.0001 0:00:00;;0;;
27;13;14;35;False;01.01.0001 0:00:00;;0;;
28;87;8;41;False;01.01.0001 0:00:00;;0;;
29;155;2;35;False;01.01.0001 0:00:00;;0;;
30;149;2;23;False;01.01.0001 0:00:00;;0;;
31;75;8;17;False;01.01.0001 0:00:00;;0;;
32;10;14;29;False;01.01.0001 0:00:00;;0;;
33;46;11;38;False;01.01.0001 0:00:00;;0;;
34;125;5;38;False;01.01.0001 0:00:00;;0;;
35;152;2;29;False;01.01.0001 0:00:00;;0;;
36;116;5;20;False;01.01.0001 0:00:00;;0;;
37;37;11;20;False;01.01.0001 0:00:00;;0;;
38;60;10;41;False;01.01.0001 0:00:00;;0;;
39;114;6;41;False;01.01.0001 0:00:00;;0;;
40;111;6;35;False;01.01.0001 0:00:00;;0;;
40;147;3;38;False;01.01.0001 0:00:00;;0;;
41;161;1;32;False;01.01.0001 0:00:00;;0;;
42;158;1;26;False;01.01.0001 0:00:00;;0;;
43;138;3;20;False;01.01.0001 0:00:00;;0;;
44;102;6;17;False;01.01.0001 0:00:00;;0;;
45;48;10;17;False;01.01.0001 0:00:00;;0;;
46;15;13;20;False;01.01.0001 0:00:00;;0;;
47;1;15;26;False;01.01.0001 0:00:00;;0;;
48;24;13;38;False;01.01.0001 0:00:00;;0;;
49;40;11;26;False;01.01.0001 0:00:00;;0;;
50;43;11;32;False;01.01.0001 0:00:00;;0;;
51;84;8;35;False;01.01.0001 0:00:00;;0;;
52;122;5;32;False;01.01.0001 0:00:00;;0;;
53;119;5;26;False;01.01.0001 0:00:00;;0;;
54;78;8;23;False;01.01.0001 0:00:00;;0;;
55;28;12;25;False;01.01.0001 0:00:00;;0;;
56;32;12;33;False;01.01.0001 0:00:00;;0;;
57;85;8;37;False;01.01.0001 0:00:00;;0;;
58;134;4;33;False;01.01.0001 0:00:00;;0;;
59;130;4;25;False;01.01.0001 0:00:00;;0;;
60;77;8;21;False;01.01.0001 0:00:00;;0;;
61;53;10;27;False;01.01.0001 0:00:00;;0;;
62;55;10;31;False;01.01.0001 0:00:00;;0;;
63;83;8;33;False;01.01.0001 0:00:00;;0;;
64;109;6;31;False;01.01.0001 0:00:00;;0;;
65;107;6;27;False;01.01.0001 0:00:00;;0;;
66;79;8;25;False;01.01.0001 0:00:00;;0;;
67;67;9;28;False;01.01.0001 0:00:00;;0;;
68;95;7;30;False;01.01.0001 0:00:00;;0;;
69;68;9;30;False;01.01.0001 0:00:00;;0;;
